Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  ,IV
NIFTY,29-Jan-25,13-Feb-25,CE,24000,85,126.4,82,116.05,123.95,116.05,11051,199842.08,924.08,215625,-40575,23163.1,0.1266
NIFTY,30-Jan-25,13-Feb-25,CE,24000,119.95,145,109.75,121.65,127.9,121.65,9427,170595.19,909.19,353325,137700,23249.5,0.1266
NIFTY,31-Jan-25,13-Feb-25,CE,24000,127.95,150,122.2,135.05,138.4,135.05,29610,535978.69,2998.69,574800,221475,23508.4,0.1266
NIFTY,01-Feb-25,13-Feb-25,CE,24000,126,153,54,62.45,62,62.45,87953,1589344.49,6190.49,804000,229200,23482.15,0.1266
NIFTY,03-Feb-25,13-Feb-25,CE,24000,33,47.85,24.3,32.3,32.1,32.3,50752,914689.92,1153.92,1139100,335100,23361.05,0.1266
NIFTY,04-Feb-25,13-Feb-25,CE,24000,52.7,100.95,39,90.25,91.2,90.25,167858,3030627.55,9183.55,1288575,149475,23739.25,0.1266
NIFTY,05-Feb-25,13-Feb-25,CE,24000,103.7,113.95,79,85.5,80,85.5,142847,2581731.56,10485.56,2489475,1200900,23696.3,0.1266
