Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  ,IV
NIFTY,29-Jan-25,13-Feb-25,PE,23500,606.95,660.9,521.4,536,521.4,536,940,16973.61,406.11,25950,5250,23163.1,0.1541
NIFTY,30-Jan-25,13-Feb-25,PE,23500,540.05,545,384.4,429.6,414.45,429.6,2239,40239.87,777.5,53850,27900,23249.5,0.1541
NIFTY,31-Jan-25,13-Feb-25,PE,23500,434.85,437.75,259.8,275.85,263.05,275.85,20124,359374.55,4689.05,445125,391275,23508.4,0.1541
NIFTY,01-Feb-25,13-Feb-25,PE,23500,275.85,327.9,200.05,224.1,219.45,224.1,54164,964988.04,10347.54,842100,396975,23482.15,0.1541
NIFTY,03-Feb-25,13-Feb-25,PE,23500,276.85,357.6,255.75,264.7,264,264.7,18555,331288.81,4256.94,667575,-174525,23361.05,0.1541
NIFTY,04-Feb-25,13-Feb-25,PE,23500,247.2,267.1,112,115.7,113.5,115.7,108668,1929941.03,14667.53,1081875,414300,23739.25,0.1541
NIFTY,05-Feb-25,13-Feb-25,PE,23500,107,113,83.5,106.35,112.05,106.35,80243,1420247.53,5964.66,1517175,435300,23696.3,0.1541
